city,year,weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_air_temp_k,reanalysis_dew_point_temp_k,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_precip_mm,total_cases
iq,2000,26,0.1928857,0.1322571,0.3408857,0.2472,296.74,295.1842857,92.41857143,25.41,16.65142857,8.928571429,26.4,10.775,3,0
iq,2000,27,0.2168333,0.2761,0.2894571,0.2416571,296.6342857,295.3585714,93.58142857,60.61,16.86285714,10.31428571,26.9,11.56666667,55.6,0
iq,2000,28,0.1767571,0.1731286,0.2041143,0.1280143,296.4157143,295.6228571,95.84857143,55.52,17.12,7.385714286,26.8,11.46666667,38.1,0
iq,2000,29,0.2277286,0.1454286,0.2542,0.2003143,295.3571429,292.7971429,87.23428571,5.6,14.43142857,9.114285714,25.76666667,10.53333333,30,0
iq,2000,30,0.3286429,0.3221286,0.2543714,0.3610429,296.4328571,293.9571429,88.16142857,62.76,15.44428571,9.5,26.6,11.48,4,0
iq,2000,31,0.2055286,0.1907571,0.2316714,0.2553143,297.1914286,291.7257143,74.72857143,16.24,13.42142857,13.77142857,25.34,10.94,11.5,0
iq,2000,32,0.3124857,0.3299857,0.3805857,0.3872714,297.32,293.8214286,83.27571429,89.37,15.31142857,11.47142857,27.01666667,11.65,72.9,0
iq,2000,33,0.3841333,0.39224,0.34178,0.38275,297.6271429,293.9928571,82.49,42.08,15.46571429,13.7,26.58333333,10.31666667,50.1,0
iq,2000,34,0.4081571,0.3221571,0.4067143,0.3027143,298.2385714,292.9042857,74.74,49.22,14.44428571,13.77142857,26.9,13.4,89.2,0
iq,2000,35,0.3320429,0.3210571,0.3146143,0.3242571,299.2185714,293.4728571,74.15142857,53.65,15.05714286,12.45714286,27.11666667,12.26666667,78,0
iq,2000,36,0.2955857,0.2956833,0.3122143,0.2659286,300.8028571,290.6357143,57.78714286,23.12,12.65285714,14.9,28.36666667,12.9,56.9,1
iq,2000,37,0.2846571,0.3097571,0.3878833,0.3281571,299.8585714,293.64,71.66,34.62,15.22714286,13.85714286,27.425,12.775,18.9,0
iq,2000,38,0.3488143,0.2957167,0.4048429,0.2425714,297.4357143,292.7071429,77.48714286,97.55,14.33857143,11.31428571,27.53333333,12.56666667,104.2,0
iq,2000,39,0.1756857,0.09948333,0.2257143,0.1827857,299.3557143,293.2171429,71.46285714,95.89,14.79857143,14.94285714,27.15,12.175,57.9,0
iq,2000,40,0.33754,0.2769429,0.2775,0.25505,298.3728571,294.6642857,82.37142857,46.22,16.14857143,11.97142857,26.7,11.675,63,0
iq,2000,41,0.2235333,0.1339143,0.3498,0.1009167,298.4742857,294.5928571,81.52285714,31.1,16.07142857,13.48571429,27.65714286,11.3,3,1
iq,2000,42,0.2748,0.1870571,0.3739429,0.2794714,299.2114286,294.0071429,75.54,25.21,15.52857143,14.92857143,27.775,12.275,45.2,1
iq,2000,43,0.3673,0.30555,0.45538,0.3258,299.5414286,294.7085714,76.94142857,49.25,16.19571429,13.45714286,28,12.46666667,57.9,0
